pybullet build time: Mar 29 2026 16:48:40
Device: cuda

[URDFGraphBuilder] anymal_stripped.urdf
  Nodes            : 13  (body + 12 joints)
  Edges            : 24  (bidirectional)
  Node feature dim : 13  (static 11 + runtime 2)
  Edge feature dim : 4
  Action dim       : 12  (one torque per controllable joint)
  Joint order      : ['LF_HAA', 'LF_HFE', 'LF_KFE', 'LH_HAA', 'LH_HFE', 'LH_KFE', 'RF_HAA', 'RF_HFE', 'RF_KFE', 'RH_HAA', 'RH_HFE', 'RH_KFE']

Loading checkpoint: /kaggle/working/checkpoints/gnn_ppo_800768.pt
Resumed from step 800768

Agent parameters: 51,086
Rollout steps: 2048 | Minibatch size: 64
Total updates: 781

  Checkpoint saved: ./checkpoints/gnn_ppo_1050624.pt
step= 1052672 | ep_rew=-2368.61 | ep_len=   987 | pg=-0.0042 | vf=510.8153 | ent=14.3206 | clip=0.175 | sps=443
step= 1054720 | ep_rew=-2338.35 | ep_len=   987 | pg=-0.0049 | vf=716.9736 | ent=14.3376 | clip=0.146 | sps=440
step= 1056768 | ep_rew=-2394.48 | ep_len=   987 | pg=-0.0067 | vf=984.9643 | ent=14.3586 | clip=0.183 | sps=438
step= 1058816 | ep_rew=-2445.30 | ep_len=   987 | pg=-0.0042 | vf=338.4575 | ent=14.3841 | clip=0.158 | sps=435
step= 1060864 | ep_rew=-2474.74 | ep_len=   987 | pg=-0.0083 | vf=542.7716 | ent=14.4082 | clip=0.131 | sps=433
step= 1062912 | ep_rew=-2428.18 | ep_len=   989 | pg=-0.0059 | vf=648.0509 | ent=14.4340 | clip=0.134 | sps=430
step= 1064960 | ep_rew=-2542.47 | ep_len=   987 | pg=-0.0056 | vf=939.8031 | ent=14.4509 | clip=0.172 | sps=428
step= 1067008 | ep_rew=-2550.33 | ep_len=   981 | pg=-0.0111 | vf=281.6384 | ent=14.4671 | clip=0.148 | sps=425
step= 1069056 | ep_rew=-2661.82 | ep_len=   975 | pg=-0.0101 | vf=803.8686 | ent=14.4856 | clip=0.164 | sps=423
step= 1071104 | ep_rew=-2638.85 | ep_len=   986 | pg=-0.0086 | vf=385.5454 | ent=14.5014 | clip=0.132 | sps=420
step= 1073152 | ep_rew=-2619.69 | ep_len=   986 | pg=-0.0101 | vf=409.9639 | ent=14.5070 | clip=0.140 | sps=418
step= 1075200 | ep_rew=-2624.06 | ep_len=   986 | pg=-0.0068 | vf=639.7609 | ent=14.5233 | clip=0.115 | sps=416
step= 1077248 | ep_rew=-2494.51 | ep_len=   986 | pg= 0.0041 | vf=365.7148 | ent=14.5370 | clip=0.183 | sps=414
step= 1079296 | ep_rew=-2462.73 | ep_len=   986 | pg=-0.0029 | vf=314.4385 | ent=14.5494 | clip=0.151 | sps=411
step= 1081344 | ep_rew=-2437.04 | ep_len=   986 | pg=-0.0035 | vf=424.3450 | ent=14.5683 | clip=0.162 | sps=409
step= 1083392 | ep_rew=-2445.21 | ep_len=   984 | pg=-0.0077 | vf=677.3118 | ent=14.5924 | clip=0.165 | sps=407
